Rank,Player,PTS
1.,LeBron James,38652
2.,Kareem Abdul-Jabbar*,38387
3.,Karl Malone*,36928
4.,Kobe Bryant*,33643
5.,Michael Jordan*,32292
6.,Dirk Nowitzki,31560
7.,Wilt Chamberlain*,31419
8.,Shaquille O'Neal*,28596
9.,Carmelo Anthony,28289
10.,Moses Malone*,27409
11.,Elvin Hayes*,27313
12.,Hakeem Olajuwon*,26946
13.,Kevin Durant,26892
14.,Oscar Robertson*,26710
15.,Dominique Wilkins*,26668
16.,Tim Duncan*,26496
17.,Paul Pierce*,26397
18.,John Havlicek*,26395
19.,Kevin Garnett*,26071
20.,Vince Carter,25728
21.,Alex English*,25613
22.,Reggie Miller*,25279
23.,Jerry West*,25192
24.,Patrick Ewing*,24815
25.,James Harden,24693
26.,Ray Allen*,24505
27.,Russell Westbrook,24457
28.,Allen Iverson*,24368
29.,Charles Barkley*,23757
30.,Robert Parish*,23334
31.,Adrian Dantley*,23177
32.,Dwyane Wade,23165
33.,Elgin Baylor*,23149
34.,Clyde Drexler*,22195
35.,Gary Payton*,21813
36.,Larry Bird*,21791
37.,Chris Paul,21755
38.,Stephen Curry,21712
39.,DeMar DeRozan,21685
40.,Hal Greer*,21586
41.,Walt Bellamy*,20941
42.,Pau Gasol,20894
43.,Bob Pettit*,20880
44.,David Robinson*,20790
45.,George Gervin*,20708
46.,LaMarcus Aldridge,20558
47.,Mitch Richmond*,20497
48.,Joe Johnson,20407
49.,Tom Chambers,20049
50.,Antawn Jamison,20042
51.,John Stockton*,19711
52.,Bernard King*,19655
53.,Clifford Robinson,19591
54.,Walter Davis,19521
55.,Dwight Howard,19485
56.,Tony Parker,19473
57.,Terry Cummings,19460
58.,Jamal Crawford,19419
59.,Damian Lillard,19376
60.,Bob Lanier*,19248
61.,Eddie Johnson,19202
62.,Gail Goodrich*,19181
63.,Reggie Theus,19015
64.,Dale Ellis,19004
65.,Scottie Pippen*,18940
66.,Jason Terry,18881
67.,Chet Walker*,18831
68.,Isiah Thomas*,18822
69.,Bob McAdoo*,18787
70.,Zach Randolph,18578
71.,Mark Aguirre,18458
72.,Dolph Schayes*,18438
73.,Rick Barry*,18395
74.,Tracy McGrady*,18381
75.,Julius Erving*,18364
76.,Glen Rice,18336
77.,Dave Bing*,18327
78.,World B. Free,17955
79.,Calvin Murphy*,17949
80.,Lou Hudson*,17940
81.,Chris Mullin*,17911
82.,Lenny Wilkens*,17772
83.,Bailey Howell*,17770
84.,Magic Johnson*,17707
85.,Shawn Marion,17700
86.,Rudy Gay,17642
87.,Rolando Blackman,17623
88.,Otis Thorpe,17600
89.,Jason Kidd*,17529
90.,Earl Monroe*,17454
91.,Steve Nash*,17387
92.,Kevin McHale*,17335
93.,Michael Finley,17306
94.,Jack Sikma*,17287
95.,Kevin Willis,17253
96.,Jeff Malone,17231
97.,Chris Bosh*,17189
98.,Chris Webber*,17182
99.,Grant Hill*,17137
100.,Bob Cousy*,16960
101.,Elton Brand,16827
102.,Buck Williams,16784
103.,Latrell Sprewell,16712
104.,Tiny Archibald*,16481
105.,Jerry Stackhouse,16409
106.,Joe Dumars*,16401
107.,Paul George,16361
108.,James Worthy*,16320
109.,Stephon Marbury,16297
110.,Giannis Antetokounmpo,16280
111.,Andre Miller,16278
112.,Paul Arizin*,16266
113.,Randy Smith,16262
114.,Juwan Howard,16159
115.,Derek Harper,16006
,Rasheed Wallace,16006
117.,Amar'e Stoudemire,15994
118.,Kiki Vandeweghe,15980
119.,Pete Maravich*,15948
120.,Anthony Davis,15841
121.,Jack Twyman*,15840
122.,Chauncey Billups,15802
123.,Detlef Schrempf,15761
124.,Kyle Lowry,15731
125.,Kyrie Irving,15712
126.,Richard Hamilton,15708
127.,Larry Nance,15687
128.,Jeff Hornacek,15659
129.,Antoine Walker,15647
130.,Sam Cassell,15635
131.,Lou Williams,15593
132.,Terry Porter,15586
133.,Walt Frazier*,15581
134.,Artis Gilmore*,15579
,Rashard Lewis,15579
136.,Dennis Johnson*,15535
137.,Bob Dandridge*,15530
138.,Brook Lopez,15486
139.,Sam Jones*,15411
140.,Bradley Beal,15391
141.,Tim Hardaway*,15373
142.,Dick Barnett,15358
143.,Shawn Kemp,15347
144.,Sam Perkins,15324
145.,John Drew,15291
146.,Byron Scott,15097
147.,Dick Van Arsdale,15079
148.,Shareef Abdur-Rahim,15028
149.,Mike Conley,15019
150.,Mike Mitchell,15016
151.,Richard Jefferson,14904
152.,Jrue Holiday,14876
153.,James Edwards,14862
154.,Monta Ellis,14858
155.,Kevin Love,14814
156.,Mike Bibby,14698
157.,Richie Guerin*,14676
158.,Dan Issel*,14659
159.,Jason Richardson,14644
,Jamaal Wilkes*,14644
161.,Purvis Short,14607
162.,Spencer Haywood*,14592
163.,Allan Houston,14551
164.,Paul Millsap,14536
165.,Bill Russell*,14522
166.,Blake Griffin,14513
167.,Kemba Walker,14486
168.,Hersey Hawkins,14470
169.,Ricky Pierce,14467
170.,Rod Strickland,14463
171.,Nate Thurmond*,14437
172.,Jo Jo White*,14399
173.,Al Jefferson,14343
174.,Alonzo Mourning*,14311
175.,Glenn Robinson,14234
176.,Tom Van Arsdale,14232
177.,Klay Thompson,14156
178.,Eddie Jones,14155
179.,Gus Williams,14093
180.,Thaddeus Young,14088
181.,Dave DeBusschere*,14053
,Jerry Lucas*,14053
183.,Manu Ginóbili*,14043
184.,David West,14034
185.,Fred Brown,14018
186.,Nikola Vučević,14000
187.,Carlos Boozer,13976
188.,Andre Iguodala,13968
189.,Alvan Adams,13910
,Ron Harper,13910
191.,Bob Love,13895
192.,Marques Johnson,13892
193.,Chuck Person,13858
194.,Deron Williams,13804
195.,Bill Laimbeer,13790
196.,Jeff Green,13732
197.,Jimmy Butler,13688
198.,Peja Stojaković,13647
199.,Billy Cunningham*,13626
200.,Orlando Woolridge,13623
201.,Xavier McDaniel,13606
202.,Al Horford,13605
203.,Dave Cowens*,13516
204.,Baron Davis,13447
,Cliff Hagan*,13447
206.,Steve Smith,13430
207.,Vlade Divac*,13398
,Tobias Harris,13398
209.,Rudy Tomjanovich*,13383
210.,Luol Deng,13361
211.,Jermaine O'Neal,13309
212.,Al Harrington,13237
213.,Jalen Rose,13220
214.,Corey Maggette,13198
215.,Kevin Johnson,13127
216.,Eric Gordon,13119
217.,Metta World Peace,13058
218.,Jeff Mullins,13017
219.,Horace Grant,12996
,Josh Smith,12996
221.,Stephen Jackson,12976
222.,Bob Boozer,12964
223.,Kendall Gill,12914
224.,CJ McCollum,12909
225.,Derrick Coleman,12884
226.,Wayman Tisdale,12878
227.,Rik Smits,12871
228.,Mychal Thompson,12810
229.,Paul Westphal*,12809
230.,Sidney Wicks,12803
231.,DeMarcus Cousins,12802
232.,Lamar Odom,12781
233.,Mickey Johnson,12748
234.,Johnny Newman,12740
235.,Bill Cartwright,12713
236.,Armen Gilliam,12700
237.,Jim Jackson,12690
238.,Devin Booker,12688
239.,Dell Curry,12670
240.,Bill Sharman*,12665
241.,Nick Van Exel,12658
242.,Goran Dragić,12568
243.,Otis Birdsong,12544
244.,Jack Marin,12541
245.,Marc Gasol,12514
246.,Mike Newlin,12507
247.,Mark Jackson,12489
248.,Red Kerr,12480
249.,Joe Barry Carroll,12455
250.,Caron Butler,12430
